Nombre;Tipo de evento;Fecha inicio evento;Lenguajes del evento;Nombre lugar;Municipio;Pais
Antzerkinyo 2018;Festivales (Gazteinformazioa);10/11/2018;Euskera / Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
Audience + Crim + Txapito Guzman & Ibarrako Langostinuek;Concierto;13/07/2018;Espanyol;Mendiola auzoa;Abadinyo;Espanya
Banda Municipal de Txistularis de Bilbao y Asociacion Ballets olaeta: Fusioa;Concierto;22/09/2018;Euskera;Herriko enparantza;Alegria-Dulantzi;Espanya
Bernarda 5.0;Teatro;18/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Berriketan;Danza;09/09/2018;Espanyol;Herriko enparantza;Alegria-Dulantzi;Espanya
Bertso bazkaria: Bixente Gorostidi + Unai Mendizabal + Iker Zubeldia;Bertsolarismo;22/06/2018;Euskera;Larraitz Gain jatetxea;Abaltzisketa;Espanya
Bertso ekitaldi berezia: Iratxe Ibarra + oihane Perea;Bertsolarismo;15/09/2018;Euskera;Plaza;Alegria-Dulantzi;Espanya
Bertso saioa: Aitor Mendiluze + Anjel Mari Penyagarikano;Bertsolarismo;13/06/2018;Euskera;Urkiola;Abadinyo;Espanya
Bertso txapelketa: Ander Anakabe, Eneko Arrate Sololuze, Ibon Larrazabal Larra, Asier Urkiza, Gurutz Uruburu, Arkaitz Zipitria;Bertsolarismo;26/05/2018;Euskera;;Abadinyo;Espanya
Bertso-saioa: Agin Laburu + Aitor Mendiluze;Bertsolarismo;14/12/2018;Euskera;Mendiola auzoa;Abadinyo;Espanya
Bertso-saioa: Amets Arzallus + Andoni Eganya + Unai Iturriaga + Maialen Lujanbio;Bertsolarismo;04/08/2018;Euskera;Gerediaga auzoa;Abadinyo;Espanya
Bertso-saioa: Andoni Eganya + Arkaitz Estiballes;Bertsolarismo;01/12/2018;Euskera;Muntsarazko Txokoa;Abadinyo;Espanya
Bertso-saioa: Benyat Iguaran + Julio Soto;Bertsolarismo;29/12/2018;Euskera;;Abaltzisketa;Espanya
Bertso-saioa: Enyaut Agirre + Unai Agirre Goia;Bertsolarismo;21/12/2018;Euskera;Larraitz-Gain jatetxea;Abaltzisketa;Espanya
